측정점(g),분동호칭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63000,20 kg(1),20 kg(2),20 kg(3),2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,
64000,20 kg(1),20 kg(2),20 kg(3),2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,,
65000,20 kg(1),20 kg(2),20 kg(3),5 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
66000,20 kg(1),20 kg(2),20 kg(3),5 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,
67000,20 kg(1),20 kg(2),20 kg(3),5 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,
68000,20 kg(1),20 kg(2),20 kg(3),5 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,
69000,20 kg(1),20 kg(2),20 kg(3),5 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,
70000,20 kg(1),20 kg(2),20 kg(3),10 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
71000,20 kg(1),20 kg(2),20 kg(3),10 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,
72000,20 kg(1),20 kg(2),20 kg(3),10 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,
73000,20 kg(1),20 kg(2),20 kg(3),10 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,
74000,20 kg(1),20 kg(2),20 kg(3),10 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,
75000,20 kg(1),20 kg(2),20 kg(3),10 kg,5 kg,,,,,,,,,,,,,,,,,,,,,,,,,
76000,20 kg(1),20 kg(2),20 kg(3),10 kg,5 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,
77000,20 kg(1),20 kg(2),20 kg(3),10 kg,5 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,
78000,20 kg(1),20 kg(2),20 kg(3),10 kg,5 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,
79000,20 kg(1),20 kg(2),20 kg(3),10 kg,5 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,
80000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),,,,,,,,,,,,,,,,,,,,,,,,,,
81000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),1 kg,,,,,,,,,,,,,,,,,,,,,,,,,
82000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),2 kg,,,,,,,,,,,,,,,,,,,,,,,,,
83000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,
84000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,
85000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),5 kg,,,,,,,,,,,,,,,,,,,,,,,,,
86000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),5 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,
87000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),5 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,
88000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),5 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,
89000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),5 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,
90000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,,,,,,,,,,,,,,,,,,,,,,,,,
91000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,
92000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,
93000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,
94000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,
95000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,5 kg,,,,,,,,,,,,,,,,,,,,,,,,
96000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,5 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,
97000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,5 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,
98000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,5 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,
99000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,5 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,
100000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),,,,,,,,,,,,,,,,,,,,,,,,,
110000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),10 kg,,,,,,,,,,,,,,,,,,,,,,,,
120000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),,,,,,,,,,,,,,,,,,,,,,,,
130000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),10 kg,,,,,,,,,,,,,,,,,,,,,,,
140000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),,,,,,,,,,,,,,,,,,,,,,,
150000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),10 kg,,,,,,,,,,,,,,,,,,,,,,
160000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),,,,,,,,,,,,,,,,,,,,,,
170000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),10 kg,,,,,,,,,,,,,,,,,,,,,
180000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),,,,,,,,,,,,,,,,,,,,,
190000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),10 kg,,,,,,,,,,,,,,,,,,,,
200000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),,,,,,,,,,,,,,,,,,,,
210000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),10 kg,,,,,,,,,,,,,,,,,,,
220000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),,,,,,,,,,,,,,,,,,,
230000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),10 kg,,,,,,,,,,,,,,,,,,
240000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),,,,,,,,,,,,,,,,,,
250000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),10 kg,,,,,,,,,,,,,,,,,
260000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),,,,,,,,,,,,,,,,,
270000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),10 kg,,,,,,,,,,,,,,,,
280000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),,,,,,,,,,,,,,,,
290000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),10 kg,,,,,,,,,,,,,,,
300000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),,,,,,,,,,,,,,,
310000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),10 kg,,,,,,,,,,,,,,
320000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),,,,,,,,,,,,,,
330000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),10 kg,,,,,,,,,,,,,
340000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),,,,,,,,,,,,,
350000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),10 kg,,,,,,,,,,,,
360000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),,,,,,,,,,,,
370000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),10 kg,,,,,,,,,,,
380000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),,,,,,,,,,,
390000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),10 kg,,,,,,,,,,
400000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),,,,,,,,,,
410000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),10 kg,,,,,,,,,
420000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),,,,,,,,,
430000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),10 kg,,,,,,,,
440000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),,,,,,,,
450000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),10 kg,,,,,,,
460000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),20 kg(23),,,,,,,
470000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),20 kg(23),10 kg,,,,,,
480000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),20 kg(23),20 kg(24),,,,,,
490000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),20 kg(23),20 kg(24),10 kg,,,,,
500000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),20 kg(23),20 kg(24),20 kg(25),,,,,
510000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),20 kg(23),20 kg(24),20 kg(25),10 kg,,,,
520000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),20 kg(23),20 kg(24),20 kg(25),20 kg(26),,,,
530000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),20 kg(23),20 kg(24),20 kg(25),20 kg(26),10 kg,,,
540000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),20 kg(23),20 kg(24),20 kg(25),20 kg(26),20 kg(27),,,
550000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),20 kg(23),20 kg(24),20 kg(25),20 kg(26),20 kg(27),10 kg,,
560000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),20 kg(23),20 kg(24),20 kg(25),20 kg(26),20 kg(27),20 kg(28),,
570000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),20 kg(23),20 kg(24),20 kg(25),20 kg(26),20 kg(27),20 kg(28),10 kg,
580000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),20 kg(23),20 kg(24),20 kg(25),20 kg(26),20 kg(27),20 kg(28),20 kg(29),
590000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),20 kg(23),20 kg(24),20 kg(25),20 kg(26),20 kg(27),20 kg(28),20 kg(29),10 kg
600000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),20 kg(9),20 kg(10),20 kg(11),20 kg(12),20 kg(13),20 kg(14),20 kg(15),20 kg(16),20 kg(17),20 kg(18),20 kg(19),20 kg(20),20 kg(21),20 kg(22),20 kg(23),20 kg(24),20 kg(25),20 kg(26),20 kg(27),20 kg(28),20 kg(29),20 kg(30)
